id,texture_name,transparency,walk_through,wall,floor,door,picture,frame
0000,empty,1,1,0,0,0,0,0
0001,spawn,1,1,0,0,0,0,0
0002,exit,1,1,0,0,0,0,0
0003,trigger,1,1,0,0,0,0,0
0100,stonewall,0,0,1,0,0,0,0
0101,brickwall,0,0,1,0,0,0,0
0102,woodwall,0,0,1,0,0,0,0
0103,metalwall,0,0,1,0,0,0,0
0104,dungeonwall,0,0,1,0,0,0,0
0105,mosswall,0,0,1,0,0,0,0
0106,castlewall,0,0,1,0,0,0,0
0107,cavewall,0,0,1,0,0,0,0
0108,icewall,0,0,1,0,0,0,0
0109,lavawall,0,0,1,0,0,0,0
0110,baffordwall,0,0,1,0,0,0,0
0200,grass,0,1,0,1,0,0,0
0201,dirt,0,1,0,1,0,0,0
0202,sand,0,1,0,1,0,0,0
0203,tiles,0,1,0,1,0,0,0
0204,water,0,1,0,1,0,0,0
0205,water1,0,1,0,1,0,0,0
0206,waterspark,0,1,0,1,0,0,0
0207,waterspark1,0,1,0,1,0,0,0
0208,woodfloor,0,1,0,1,0,0,0
0209,stoneceiling,0,1,0,1,0,0,0
0210,rug,0,1,0,1,0,0,0
0211,stonefloor,0,1,0,1,0,0,0
0212,daysky,0,1,0,1,0,0,0
0213,nightsky,0,1,0,1,0,0,0
0214,woodceiling,0,1,0,1,0,0,0
0215,woodfloor1,0,1,0,1,0,0,0
0216,tilesred,0,1,0,1,0,0,0
0217,tilesblue,0,1,0,1,0,0,0
0300,TBD,1,0,0,1,0,0,0
0301,TBD,1,0,0,1,0,0,0
0302,lava,1,0,0,1,0,0,0
0303,poison,1,0,0,1,0,0,0
0304,mud,0,1,0,1,0,0,0
0400,door,0,0,1,0,1,0,0
0401,arch,1,1,1,0,1,0,0
0402,door2,0,0,1,0,1,0,0
0403,barsdoor,1,0,1,0,1,0,0
0404,hiddenwall,0,1,1,0,1,0,0
0500,window,1,0,1,0,0,0,0
0501,stndglass,1,0,1,0,0,0,0
0502,fence,1,0,1,0,0,0,0
0503,brokenglass,1,0,1,0,0,0,0
0600,tree,1,0,1,0,0,0,0
0601,tree1,1,0,1,0,0,0,0
0602,tree2,1,0,1,0,0,0,0
0603,tree3,1,0,1,0,0,0,0
0604,bush,1,0,1,0,0,0,0
0605,rock,1,0,1,0,0,0,0
0606,mushroom,1,0,1,0,0,0,0
0700,grave,1,0,1,0,0,0,0
0701,torch,1,0,1,0,0,0,0
0702,barrel,1,0,1,0,0,0,0
0703,crate,1,0,1,0,0,0,0
0704,table,1,0,1,0,0,0,0
0705,chair,1,0,1,0,0,0,0
0706,statue,1,0,1,0,0,0,0
0707,lamp,1,0,1,0,0,0,0
0708,chest,1,0,1,0,0,0,0
0709,altar,1,0,1,0,0,0,0
0800,enemyspawn,1,1,1,0,0,0,0
0801,skeleton,1,0,1,0,0,0,0
0802,orc,1,0,1,0,0,0,0
0803,zombie,1,0,1,0,0,0,0
0804,demon,1,0,1,0,0,0,0
0900,medkit,1,1,1,0,0,0,0
0901,ammo,1,1,1,0,0,0,0
0902,key,1,1,1,0,0,0,0
0903,food,1,1,1,0,0,0,0
0904,armor,1,1,1,0,0,0,0
0905,treasure,1,1,1,0,0,0,0
6666,golden,1,0,1,0,0,0,1
7777,hand,0,0,1,0,0,1,golden
