id,symbol,texture_name,transparency,walk_through,wall,floor,door
0000,0,empty,1,1,0,1,0
0001,S,spawn,1,1,0,0,0
0002,E,exit,1,1,0,0,0
0003,T,trigger,1,1,0,0,0
0100,1,stonewall,0,0,1,0,0
0101,2,brickwall,0,0,1,0,0
0102,3,woodwall,0,0,1,0,0
0103,4,metalwall,0,0,1,0,0
0104,5,dungeonwall,0,0,1,0,0
0105,6,mosswall,0,0,1,0,0
0106,7,castlewall,0,0,1,0,0
0107,8,cavewall,0,0,1,0,0
0108,9,icewall,0,0,1,0,0
0109,A,lavawall,0,0,1,0,0
0200,g,grass,0,1,0,1,0
0201,d,dirt,0,1,0,1,0
0202,s,sand,0,1,0,1,0
0203,t,tiles,0,1,0,1,0
0204,u,tiles1,0,1,0,1,0
0205,c,carpet,0,1,0,1,0
0206,w,woodfloor,0,1,0,1,0
0207,m,marble,0,1,0,1,0
0208,i,icefloor,0,1,0,1,0
0209,b,bridge,0,1,0,1,0
0300,~,water,1,0,0,1,0
0301,B,water1,1,0,0,1,0
0302,L,lava,1,0,0,1,0
0303,P,poison,1,0,0,1,0
0304,M,mud,0,1,0,1,0
0400,D,door,0,0,1,0,1
0401,O,dooropen,1,1,1,0,1
0402,K,keydoor,0,0,1,0,1
0403,B,barsdoor,1,0,1,0,1
0404,H,hiddenwall,0,1,1,0,1
0500,W,window,1,0,1,0,0
0501,X,stndglass,1,0,1,0,0
0502,Q,fence,1,0,1,0,0
0503,R,ironbars,1,0,1,0,0
0600,F,tree,1,0,1,0,0
0601,G,tree1,1,0,1,0,0
0602,J,tree2,1,0,1,0,0
0603,Y,tree3,1,0,1,0,0
0604,N,bush,1,0,1,0,0
0605,Z,rock,1,0,1,0,0
0606,j,mushroom,1,0,1,0,0
0700,#,grave,1,0,1,0,0
0701,!,torch,1,0,1,0,0
0702,?,barrel,1,0,1,0,0
0703,%,crate,1,0,1,0,0
0704,&,table,1,0,1,0,0
0705,*,chair,1,0,1,0,0
0706,C,statue,1,0,1,0,0
0707,^,lamp,1,0,1,0,0
0708,$,chest,1,0,1,0,0
0709,@,altar,1,0,1,0,0
0800,e,enemyspawn,1,1,1,0,0
0801,k,skeleton,1,0,1,0,0
0802,o,orc,1,0,1,0,0
0803,z,zombie,1,0,1,0,0
0804,C,demon,1,0,1,0,0
0900,I,medkit,1,1,1,0,0
0901,U,ammo,1,1,1,0,0
0902,V,key,1,1,1,0,0
0903,f,food,1,1,1,0,0
0904,h,armor,1,1,1,0,0
0905,r,treasure,1,1,1,0,0
