"0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211"
"0209
0100
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0500
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0209
0000
0200","0209
0000
0200","0209
0000
0200","0209
0000
0200","0209
0000
0200","0209
0000
0200","0209
0000
0200","0209
0000
0200","0209
0000
0200","0209
0000
0200","0209
0000
0200","0209
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211"
"0209
0100
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0500
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0400
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0200
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0200
0000
0200","0209
0100
0211","0209
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211"
"0209
0100
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0500
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0000
0211","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0209
0000
0200","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211"
"0209
0100
0211","0209
0400
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0500
0211","0209
0400
0211","0209
0500
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0209
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211"
"0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0209
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211"
"0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0209
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211"
"0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0204
0200","0200
0205
0200","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0200
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0200
0000
0200","0209
0100
0211","0209
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211"
"0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0204
0200","0200
0205
0200","0200
0204
0200","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0209
0000
0200","0209
0100
0211","0200
0000
0200","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211"
"0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0204
0200","0200
0205
0200","0200
0202
0200","0200
0202
0200","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211","0209
0000
0200","0209
0100
0211","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0200
0000
0200","0209
0100
0211"
